,pred
0,157216.3574106336
1,114812.14062989184
2,139111.03381002843
3,126366.5570154943
4,209470.93292272405
5,343103.2136970578
6,110298.11512731154
7,200644.0494466148
8,111174.17607435839
9,251632.4840703616
10,176120.0300012126
11,225545.31208147478
12,334562.1750087037
13,165470.8740938152
14,131922.8424960223
15,328415.5060149437
16,178202.97710281794
17,210488.06850009074
18,184177.14635506767
19,358827.163654929
20,355046.99413626693
21,192771.31750018592
22,405900.9276703395
23,140066.2241815557
24,191849.136692559
25,231674.6856693699
26,161321.24220655768
27,145541.2344662338
28,184227.29756241533
29,184945.3679335527
30,190604.7864118055
31,157780.03617089224
32,280940.99016244925
33,190706.68222956258
34,118883.58969668503
35,263969.14798280946
36,248940.49270042573
37,171444.684476383
38,219823.4335091251
39,186980.99223660788
40,265413.2938732639
41,152846.52826333136
42,157154.13534109417
43,191342.27111089
44,167524.44936074698
45,126304.02512561665
46,253937.49231078618
47,213391.73652732448
48,149712.56700429894
49,229331.70875098964
50,188148.9116404975
51,189093.2492290755
52,134058.88437296567
53,127213.9193117966
54,270395.36465661065
55,176038.96372085193
56,365097.23130293586
57,189339.2661863152
58,148778.173559518
59,140251.33099172317
60,194240.2483804644
61,226657.18523263643
62,178550.94563864174
63,181165.17946273444
64,248444.21805424514
65,122674.2396494949
66,233474.88420031255
67,155813.30281544983
68,167478.03520190474
69,134403.8756378316
70,173927.91794527363
71,116826.37470616493
72,230248.13713899386
73,329483.866437862
74,261792.10090037232
75,186406.15269411728
76,244670.90025822513
77,298106.59744593006
78,154338.08601431458
79,267637.06995670387
80,162650.0547458331
81,185660.92155313212
82,186600.21694984456
83,108917.46171796959
84,284375.4300951953
85,331287.90377725026
86,174251.05263652783
87,299604.90052120516
88,467658.1427847749
89,109260.34848861197
90,162374.09097325194
91,192582.2351162336
92,183432.05318517948
93,126327.10988913322
94,175968.15164806056
95,283766.1839721986
96,190646.60864467442
97,394987.3366297925
98,236036.1378366999
99,426470.3537819888
100,182596.4416210683
101,369624.611187541
102,193104.45393581392
103,194998.32212041624
104,228143.24427084933
105,202121.69409729203
106,294362.5197274376
107,162146.44867594537
108,184190.02933215536
109,207520.38772264365
110,254281.68095649782
111,182449.28020981912
112,184036.8281759398
113,177413.72276954036
114,180732.08223614664
115,195417.44357485799
116,227860.7546624885
117,350600.29635928886
118,386571.02595409
119,411584.3671638923
120,258012.07927895256
121,288420.64564135065
